SMILES,des_cv,pred_cv,Err_pred_des
N=CNOC=O,31.367,21.367671966552734,0.3187849661570206
NCC(O)O,31.861,21.146209716796875,0.33629799074740674
C1=NNNCCN=NN=N1,31.74,29.648765563964844,0.0658864031517062
N=C1OC(O)C1N,35.765,21.163732528686523,0.4082557660090445
N=CNNCN,35.765,22.802398681640625,0.36243817470598
NNC1CC(O)O1,35.765,21.89849853515625,0.38771149069883265
CCC=CC(=NN)OOOO,27.198,21.218244552612305,0.21986011645664003
N#CNNCCO,29.59,21.4263916015625,0.2758907873753802
c1cnc[nH]nnnc1,29.59,23.399574279785156,0.2092066819944185
N=C(NN)NO,29.59,27.465185165405273,0.07180854459596912
N=CN=O,25.553,24.068950653076172,0.05807730391436735
O=CN1N=NCC=CC=NN=N1,25.553,28.72403907775879,0.1240965474800919
N=C1N=NC(N)=NN=NN=NCN1,25.553,24.076570510864258,0.05777910574632109
N=CCC(N)=O,37.883,21.042699813842773,0.44453449267896494
N=CNCNN,37.883,25.904170989990234,0.31620592376553514
N=C1CC(O)O1,37.883,21.791118621826172,0.42477843302203705
C1=NN=COC=NN=NN1,33.515,23.712921142578125,0.29246841287250114
Cn1nnoncnnnc[nH]1,33.515,24.979238510131836,0.2546848124680938
N=CC(NN)OOC=O,33.515,21.44764518737793,0.36005832649924124
C1=COON=NN=CC=N1,35.496,22.188934326171875,0.37488916142179757
CC(=N)OCOO,35.496,22.016311645507812,0.3797523201062708
O=C1OC1O,33.347,21.401350021362305,0.3582226280816174
N=CNNCCO,30.881,21.852853775024414,0.29235278083532223
CCc1n[nH]n1OC=O,35.615,21.24991226196289,0.40334375229642316
N=C1N=C(C=O)N1,28.511,21.244117736816406,0.25487995030632365
C1CNNN=NN=NN=NN=N1,28.511,29.304912567138672,0.02784583378831583
C1=CN=NN=NN=NN=NN=1,28.511,30.627513885498047,0.07423499300263224
NN1C=CNN=N1,28.511,23.316404342651367,0.1821961929553026
N=c1nncnnn1,32.96,25.942916870117188,0.21289693962023098
N=CNNC=O,31.127,21.177654266357422,0.3196371553199016
NNOOOCC(N)=O,31.127,22.743515014648438,0.26933160874326345
NCC12CC1=NN=NCO2,23.951,21.444257736206055,0.10466127776685508
N=CNN=N,23.951,26.76827621459961,0.11762666337938328
C1CNNCN1,30.849,23.01568031311035,0.2539245903234999
CC1CC(=N)O1,34.917,24.330690383911133,0.3031849705326594
COCN=N,34.917,24.462779998779297,0.29940201051696036
N=CCCCC(=N)N=CCNN,30.746,24.392148971557617,0.20665618384317902
N=CCNNC(=N)NCCC1CNN1,30.746,23.059986114501953,0.24998418934163943
NCCNOCOO,30.688,22.04130744934082,0.28176135788122975
NC(=O)CO,30.296,21.490947723388672,0.29063415225149614
NCC1COOOOC1N,31.121,22.969585418701172,0.2619264991902197
NC(O)COO,31.121,22.50660514831543,0.2768032791904042
C1N=NN=NN=NN=NNNN1,23.706,28.836458206176758,0.21642023986234532
NC(=O)O,27.538,21.777103424072266,0.20919807451259112
C1=NNN=NN=NN=NCCN1,33.846,27.733980178833008,0.18058322464004578
OCCOO,33.846,22.196104049682617,0.3442030358186309
CCC(CNNC=O)COC,33.846,33.621185302734375,0.006642282611405234
C1CCNNC1,29.157,28.26834487915039,0.030478276943773686
CNNN=CCN,32.077,21.785879135131836,0.3208255405701332
N=c1nncc(O)nn1,32.077,24.73516082763672,0.2288817274796047
N=C1N=NN=NN=NN=N1,25.237,29.134159088134766,0.15442243880551443
N=CNN=NN,25.409,24.485584259033203,0.03634207331917021
CCN=C(N)C(CO)OO,25.409,21.042491912841797,0.1718488758769807
N=C1NCC(CO)O1,25.409,21.625761032104492,0.14889365846335972
C1=CN=NN=NN=NN=NC1,25.409,30.039108276367188,0.18222316015455897
N=CNNCNN,25.809,22.171207427978516,0.1409505432996817
C=C1[CH]C(C)=NOC1=O,35.821,28.20914077758789,0.21249711684241387
CC(N)=O,24.157,21.521703720092773,0.1090903787683581
C1CNN=NN=NN=NN=N1,28.577,31.077972412109375,0.08751696861494815
CC1OC1=N,28.577,21.336153030395508,0.25338023479037314
N=C1NCNN1,28.577,30.20261001586914,0.05688525793012349
NCC=NNN,23.224,21.285017013549805,0.08349048339864776
OC1=NN=NCC=N1,23.224,28.017301559448242,0.20639431447848097
N=CNOCO,23.224,23.96744155883789,0.03201177914389814
COCC=O,26.737,23.506052017211914,0.12084182903048526
CCNNC=O,26.737,26.598176956176758,0.0051921697955357934
C=CC(C)C,38.394,21.241636276245117,0.44674594269299583
C=NC=N,38.394,27.915571212768555,0.27291839316641775
N=CNNNNN,38.394,23.854991912841797,0.3786791708901964
C1NN=NN1,38.394,22.668405532836914,0.40958468685635996
N=CNNCNNN,36.347,26.12656021118164,0.28119073895557706
N=CNC=N,36.347,25.188661575317383,0.3069947567799988
c1c[nH]oocn1,26.421,27.05539321899414,0.02401094655744072
OC1=NN=NCN=NN=N1,23.601,23.025270462036133,0.024394285749072764
COC(O)CO,23.601,22.39794921875,0.05097456807974235
NCCNOCO,31.112,21.531543731689453,0.3079344390688656
N=C(N)CC=O,29.633,21.71860694885254,0.26708038508242365
N=C1NC1CN,29.633,24.100250244140625,0.18670906610398455
C1Cn2nnn2N=NN=N1,29.633,27.741687774658203,0.06382452756527507
O=CN1N=NN=NN=N1,29.633,23.051681518554688,0.2220942355294878
CNCNNCCN,37.41,21.923681259155273,0.4139620085764428
Fc1cnnnc[nH]nn1,37.41,21.48032569885254,0.4258132665369543
CCNCO,25.856,21.782182693481445,0.15755790944146644
NCc1noc(=O)[nH]1,28.196,21.343700408935547,0.24302381866450753
NCNNC=O,28.196,22.27963638305664,0.2098298913655611
NC1OOOCOC1=O,27.29,21.40117835998535,0.21578679516360014
N=c1nncnc(=O)o1,25.48,22.394350051879883,0.12110086138618986
CNCNNC=N,25.48,22.449779510498047,0.11892545092236866
Nn1nnoncnnnc[nH]1,23.962,26.94744110107422,0.1245906477370094
C1=NN=CN=NON=NC1,23.962,22.027036666870117,0.08075132848384453
NC1=NN=NNCNN=N1,23.962,23.122039794921875,0.0350538437976014
C1=CN=NN=NON=NC1,33.098,21.83454132080078,0.34030632301647284
N=C1N=CON=NN=N1,33.098,24.03952980041504,0.27368633148785304
COC(C)=O,28.28,21.87306785583496,0.22655347044430835
CC(=N)OOOO,28.28,21.77670669555664,0.22996086649375388
C=NC(=N)NCOCNN,32.834,28.315975189208984,0.13760202262261736
N=c1nccnnn1,27.912,22.13634490966797,0.20692372779922724
N=C1N=CON=NN1N,27.446,22.72796058654785,0.17190262382322194
CC1OOOOOC1CCN,27.446,21.43282127380371,0.21909126015435001
N#CNNC(N)O,35.549,21.331787109375,0.39993285016807784
N=CNCO,34.694,21.223106384277344,0.3882773279449662
C1=NN=NC=NN=NN=NN1,34.694,24.700651168823242,0.28804256733662187
