SMILES,des_cv,pred_cv,jobacks
CCCC(CC)C(C)=O,41.107,37.75177383422852,45.22688673909886
CC[C]C(CC)C(C)=O,41.107,38.403953552246094,39.75488856939991
CC(=O)c1cnnnn1,27.336,29.085607528686523,27.66165229449033
CC(C)CCO,27.336,29.518400192260746,31.80945754689849
NCc1ccc(F)nn1,27.336,29.933635711669922,31.316410106312066
CC(=O)C1=NN=C(O)C1,27.336,27.7186222076416,30.37725325246514
CCc1ccc(F)nn1,27.336,29.64956474304199,31.679878932503957
NCc1nnc(F)nn1,28.124000000000002,30.47036361694336,29.622460295429143
CC(=O)c1ccn[nH]1,28.124000000000002,30.27365493774414,26.37286521453262
CC(=O)c1nn[nH]n1,28.124000000000002,29.352203369140625,24.678915403649697
CCc1ccc(=N)[nH]n1,31.151,29.73666000366211,32.13055506548617
CC1N=NC=CC(O)=CO1,31.151,29.58829689025879,34.828064694667425
CCC(C)CO,31.151,29.955852508544922,31.80945754689849
CCc1ncc(C)cn1,31.151,32.77970123291016,35.169617330779445
CC(=O)c1cc(C)no1,31.151,29.30885124206543,32.288299739780044
CC(=O)c1ccnnn1,31.151,33.364463806152344,28.5086271999318
CNc1[nH]cc(C)c1O,31.151,29.005712509155273,36.017878945160945
CCc1ccc(C)cn1,31.151,32.654842376708984,36.01659223622092
CCN1N=NC(N)=CO1,30.804000000000002,31.400840759277344,34.648495000099935
CC1=CN(C(N)=O)CC1,30.804000000000002,30.00164031982422,35.22564986000447
NC(=O)C1=CC=NN=CC=C1,30.804000000000002,28.720956802368164,35.87866194052332
OCc1ccc(F)nn1,30.804000000000002,33.299758911132805,29.310058577899294
CC(=O)C1=CC=NN=CC=N1,30.804000000000002,28.30498504638672,35.39515586127376
CC(CO)c1ccn[nH]1,30.804000000000002,31.83176422119141,34.79212307518989
NC(=O)C1=CC=NN=NC=C1,30.804000000000002,28.452280044555664,35.03168703508186
CCN1C=CC(N)=NN1,30.804000000000002,29.58556938171387,35.497663103897956
CC(=O)C1=CC=NN=NC=N1,30.804000000000002,28.247905731201172,34.54818095583229
CC(=N)OC1(C)CC1,30.804000000000002,29.30015563964844,32.233779604248824
CCc1ccc(C=O)nn1,30.804000000000002,30.43673324584961,36.21115854769738
CC(=O)c1ccnnc1,30.804000000000002,27.828022003173828,29.355602105373265
CC(=O)N1C=C(C)CN1,30.804000000000002,29.45246696472168,34.28556311182168
CCc1ccc(F)cn1,33.652,31.503313064575195,32.52685383794543
CC(=O)CCCC=O,33.652,36.41604614257813,35.37573724255707
CC(=O)C(O)CN,33.652,36.192832946777344,31.54960121890439
C=CC(C)COCO,33.652,35.193153381347656,38.36588063461553
CC(C)CC1(C)N=N1,33.652,32.34788131713867,35.71526152598234
CC(=O)NCCCO,33.652,35.947059631347656,36.139112093092336
CCC(OO)C(C)=O,33.652,34.71280670166016,35.51529137501927
CC(=O)C1C(=O)CN1C,33.652,30.791940689086914,34.330461270349446
CC(C)CC(C)C,35.402,31.945520401000977,39.599970445263935
CCCC(C)CO,35.402,34.48369598388672,37.28145571659745
CC(=O)C1=CC=NN=CC=C1,35.402,32.355667114257805,36.242130766715206
CC(C)(C#N)C=CF,35.402,36.9210205078125,32.72605892065628
CCC(CC=O)C(C)=O,35.402,35.20800018310547,40.79642978631783
CCC(NC)C(C)=O,34.751,31.388708114624023,38.45762682175882
CC(=N)C1CC(=N)C1C,34.751,32.08225250244141,35.597761822592254
CC(=O)CCCCC=O,34.751,37.59458541870117,40.84773541225602
CC(=O)C(CO)OCF,34.751,34.113143920898445,37.49755114644274
CC(=O)c1cn[nH]n1,26.185,28.4520320892334,25.525890309091157
C=CCCCCC(C)=O,40.753,38.137657165527344,42.76039595313216
CC(CO)C(CO)OCF,40.214,38.367977142333984,45.91680900709999
C=CC(C)CC(C)C,40.214,40.84349822998047,42.554172203057995
CCCC(CC)C(C)=N,40.214,40.63926696777344,45.40409567429428
CC(CO)C(F)CF,30.46,27.69197082519531,35.72267146380725
CC(=O)C1(C=O)CN1,30.46,31.491832733154297,28.19233498167367
CCCc1nc(F)n[nH]1,30.46,30.79038429260254,33.32216530592082
CC1=CN(C(N)=O)NC1,30.46,28.93912696838379,33.92209428562979
CC(=O)C1CC(=O)C1C,30.46,31.64392280578613,35.10185200168674
CC(=O)C1=CN=NN=NN=C1,30.46,29.21700668334961,33.701206050390816
CC(C)N1CC(=O)[1C]1,26.612,29.140247344970703,29.28427137082013
CC(=O)n1cc(O)nn1,26.612,26.31971740722656,30.42461028160412
CC(=O)C1=NCC(O)=C1,26.612,27.39165687561035,31.224228157906612
CC(=O)C1=CC(O)=N1,26.612,27.50153160095215,26.86385571847209
CC(=O)OC1CC1=O,26.612,28.5692081451416,28.45101728670554
CCC(NCF)C(C)=O,37.085,33.626304626464844,40.439886593182294
CC(O)COCCF,37.085,34.22062301635742,37.39393864824494
CCC(CC)C(C)=O,37.085,37.09814453125,39.75488856939991
CCCCOCCO,37.085,36.35458755493164,40.93498267245861
CCNC(C)C(C)C,41.153999999999996,38.57341003417969,43.7747068673218
CC(=O)c1cc(C)co1,28.759,29.405160903930664,33.13527464522151
NCc1nnc(O)nn1,28.759,30.821496963500977,31.47585631752241
CC(=O)C1=N[C]N=CC1,28.759,30.77436065673828,26.82944588346583
CC1C=CC=C(F)N=N1,28.759,27.63514709472656,30.65352298429333
CC(C)C(C)C(C)CN,42.958,40.91847229003906,50.129192332531765
CCC(=O)CC[CH]C(C)C,42.958,38.771141052246094,48.97660964595154
CC(=O)C1CC(=O)C1,28.16,29.928659439086914,29.09895449602894
CC1=CC=C(O)N=NN=N1,28.16,27.811613082885746,32.52037765693484
CC(=O)c1cc(O)no1,28.16,28.46023941040039,30.651957363597813
CC(C)CC(C)C=O,35.609,34.136016845703125,40.64151166218186
CC(CO)C(F)CC#N,35.609,37.708946228027344,39.24667864358169
CCN1C=CNC(N)=C1,35.609,34.452621459960945,36.34463800933943
CC(CO)CCCCCO,44.178999999999995,40.47270202636719,51.327629871089655
CCCc1cc(F)no1,29.247,30.253286361694336,34.16694701300572
CC(=O)C1=CN=NN=NC=N1,29.247,30.27037239074707,33.701206050390816
CCc1ncc(F)cn1,29.247,31.1146297454834,31.679878932503957
CC(=O)C1C=C(C)N=N1,29.247,31.64284706115723,32.83234338912362
CC(=O)n1cc(C)cn1,29.247,29.594186782836914,32.9079275632278
CC(=O)C1=NN=NN=CN=C1,29.247,28.73469161987305,33.701206050390816
CC(=O)C(CO)OO,29.247,32.16794586181641,33.1454710204146
CNc1cc(O)c[nH]1,29.247,32.01805877685547,30.100251221556967
CCC(N)C(C)=O,37.214,36.642677307128906,33.91942157350906
CCC1=NC(=N)N=N1,25.513,24.928171157836914,27.379788389543393
